qber,keylen,bias,entropy,loss,label
0.029411764705882353,34,0.0,1.0,0.5905466136969348,normal
0.10344827586206896,29,0.2413793103448276,0.9575534837147482,0.8000269093575131,normal
0.05555555555555555,36,0.0,1.0,0.6407135367171185,normal
0.12307692307692308,65,0.07692307692307693,0.9957274520849255,0.4766071860776512,normal
0.09302325581395349,43,0.023255813953488372,0.999609836367807,0.6833500913323487,normal
0.07142857142857142,14,0.14285714285714285,0.9852281360342515,0.8515046081406882,normal
0.05263157894736842,19,0.3684210526315789,0.8997437586982626,0.8275722927937693,normal
0.1,40,0.2,0.9709505944546686,0.6634085206852961,normal
0.16666666666666666,12,0.3333333333333333,0.9182958340544896,0.8863339591868302,normal
0.06060606060606061,33,0.09090909090909091,0.9940302114769565,0.6267330100123143,normal
0.15,20,0.2,0.9709505944546686,0.7718070376561692,normal
0.15625,32,0.125,0.9886994082884974,0.7381187197643392,normal
0.21428571428571427,14,0.14285714285714285,0.9852281360342515,0.8266285186201637,normal
0.06666666666666667,15,0.06666666666666667,0.9967916319816366,0.8956302022360374,normal
0.08333333333333333,36,0.2222222222222222,0.964078764808229,0.6790130904769187,normal
0.23809523809523808,21,0.14285714285714285,0.9852281360342515,0.7737789988039812,normal
0.13333333333333333,15,0.6,0.7219280948873623,0.761628840153114,normal
0.07462686567164178,67,0.1044776119402985,0.9921116920021501,0.35310377490904565,normal
0.1111111111111111,63,0.2698412698412698,0.9468188316776024,0.3269866651571156,normal
0.07692307692307693,13,0.23076923076923078,0.9612366047228759,0.7726613779243947,normal
0.045454545454545456,66,0.030303030303030304,0.9993375041688847,0.35047889041506797,normal
0.09523809523809523,21,0.23809523809523808,0.9587118829771318,0.8093485714631529,normal
0.21875,64,0.03125,0.9992954443621549,0.49722305762472163,normal
0.2,30,0.2,0.9709505944546686,0.7376530649028357,normal
0.0945945945945946,74,0.08108108108108109,0.9952525494396791,0.25633933086573346,normal
0.26666666666666666,30,0.13333333333333333,0.9871377743721863,0.6860913122706072,intercept
0.22727272727272727,22,0.18181818181818182,0.9760206482366149,0.8188027388793986,intercept
0.32,50,0.0,1.0,0.6672136070279603,intercept
0.5,20,0.2,0.9709505944546686,0.7629652920265468,intercept
0.2727272727272727,11,0.09090909090909091,0.9940302114769565,0.8922884215190038,intercept
0.25,68,0.08823529411764706,0.9943766625699824,0.37193093972947155,intercept
0.23255813953488372,86,0.0,1.0,0.2331811869491821,intercept
0.23076923076923078,13,0.38461538461538464,0.8904916402194913,0.8771438957159253,intercept
0.3392857142857143,56,0.2857142857142857,0.9402859586706311,0.39125578535547756,intercept
0.2948717948717949,78,0.07692307692307693,0.9957274520849255,0.2159352628571859,intercept
0.19444444444444445,36,0.16666666666666666,0.9798687566511528,0.6687155865767145,intercept
0.4117647058823529,17,0.4117647058823529,0.873981048127358,0.84973341365813,intercept
0.2857142857142857,14,0.0,1.0,0.8350560105335023,intercept
0.4375,16,0.375,0.8960382325345574,0.8377827421956173,intercept
0.2,10,0.2,0.9709505944546686,0.8671325829030119,intercept
0.2916666666666667,24,0.16666666666666666,0.9798687566511528,0.8049456464694201,intercept
0.3076923076923077,65,0.046153846153846156,0.9984628557283828,0.35744916650579883,intercept
0.29310344827586204,58,0.13793103448275862,0.98623253507245,0.313489767355862,intercept
0.3076923076923077,26,0.07692307692307693,0.9957274520849255,0.7689643731876402,intercept
0.3888888888888889,18,0.2222222222222222,0.964078764808229,0.8745417820236727,intercept
0.17647058823529413,17,0.17647058823529413,0.9774178175281716,0.8297848829170196,intercept
0.23529411764705882,51,0.0196078431372549,0.9997226475394071,0.4402246202187855,intercept
0.3333333333333333,27,0.18518518518518517,0.9751190649408661,0.6978382049333184,intercept
0.38235294117647056,34,0.058823529411764705,0.9975025463691153,0.6124805580866379,intercept
0.275,40,0.05,0.99819587904281,0.6087902168342806,intercept
0.09375,32,0.0,1.0,0.6720558612571066,pns
0.15789473684210525,38,0.3684210526315789,0.8997437586982626,0.47914538244058635,pns
0.09090909090909091,11,0.45454545454545453,0.8453509366224364,0.8416457450295256,pns
0.07692307692307693,13,0.23076923076923078,0.9612366047228759,0.8087676394216934,pns
0.07142857142857142,28,0.14285714285714285,0.9852281360342515,0.5482094595885967,pns
0.18518518518518517,27,0.037037037037037035,0.9990102708804813,0.6830123934392835,pns
0.15,20,0.2,0.9709505944546686,0.6791019453459324,pns
0.06666666666666667,30,0.0,1.0,0.6071681870746486,pns
0.13043478260869565,23,0.21739130434782608,0.9656361333706098,0.6557317565359627,pns
0.07547169811320754,53,0.018867924528301886,0.999743186071085,0.2541537381458284,pns
0.14545454545454545,55,0.09090909090909091,0.9940302114769565,0.2788569213501012,pns
0.04,25,0.28,0.9426831892554922,0.7528241294587147,pns
0.25,16,0.125,0.9886994082884974,0.8034522980561721,pns
0.1111111111111111,54,0.25925925925925924,0.9509560484549725,0.23354916274973947,pns
0.1388888888888889,36,0.0,1.0,0.6173681613453139,pns
0.1282051282051282,39,0.1282051282051282,0.9881108365218301,0.5074299039289325,pns
0.3333333333333333,12,0.16666666666666666,0.9798687566511528,0.852937613295441,pns
0.4,10,0.0,1.0,0.877066788757561,pns
0.03333333333333333,30,0.06666666666666667,0.9967916319816366,0.5811401997529704,pns
0.10344827586206896,58,0.10344827586206896,0.9922666387194963,0.33195473847114176,pns
0.08,50,0.12,0.9895875212220556,0.21888961288674025,pns
0.09090909090909091,22,0.0,1.0,0.7056362932791351,pns
0.09090909090909091,11,0.2727272727272727,0.9456603046006401,0.8667029405542024,pns
0.125,16,0.125,0.9886994082884974,0.8259800625680764,pns
0.12,50,0.24,0.9580420222262995,0.33915211896899833,pns
0.15,60,0.13333333333333333,0.9871377743721863,0.5080087314027368,trojan
0.23076923076923078,13,0.38461538461538464,0.8904916402194913,0.8450967748777751,trojan
0.08695652173913043,23,0.13043478260869565,0.9876925088958033,0.7298434674602214,trojan
0.1951219512195122,41,0.3170731707317073,0.9262122127346664,0.5598339620370718,trojan
0.08333333333333333,12,0.16666666666666666,0.9798687566511528,0.8687387516135566,trojan
0.2222222222222222,27,0.18518518518518517,0.9751190649408661,0.7445721166554543,trojan
0.3333333333333333,9,0.5555555555555556,0.7642045065086203,0.87327682089897,trojan
0.15384615384615385,26,0.23076923076923078,0.9612366047228759,0.7211292112321042,trojan
0.18421052631578946,38,0.15789473684210525,0.9819407868640977,0.5766862215554782,trojan
0.12,25,0.04,0.9988455359952018,0.8093443560873049,trojan
0.09090909090909091,11,0.09090909090909091,0.9940302114769565,0.8969761731209771,trojan
0.15789473684210525,38,0.10526315789473684,0.9919924034538556,0.5993594219442251,trojan
0.17543859649122806,57,0.12280701754385964,0.9890934397021431,0.45538256320899995,trojan
0.0,9,0.1111111111111111,0.9910760598382222,0.8800615620950593,trojan
0.1,10,0.2,0.9709505944546686,0.8745823130774443,trojan
0.21621621621621623,37,0.35135135135135137,0.9090221560878149,0.5273734353822188,trojan
0.06896551724137931,29,0.10344827586206896,0.9922666387194963,0.7342863704894138,trojan
0.07692307692307693,26,0.23076923076923078,0.9612366047228759,0.6280245392088732,trojan
0.30434782608695654,23,0.043478260869565216,0.9986359641585718,0.8036445653310298,trojan
0.1076923076923077,65,0.046153846153846156,0.9984628557283827,0.3792696736252842,trojan
0.11764705882352941,34,0.0,1.0,0.6086610536876594,trojan
0.20833333333333334,48,0.125,0.9886994082884974,0.4052958869665946,trojan
0.14285714285714285,28,0.35714285714285715,0.9059282160429991,0.7462458802136661,trojan
0.2,10,0.8,0.4689955935892812,0.8854513852049464,trojan
0.09523809523809523,21,0.14285714285714285,0.9852281360342515,0.8448312712711173,trojan
0.0,7,0.42857142857142855,0.863120568566631,0.8777447998978082,blinding
0.2,15,0.2,0.9709505944546686,0.7149803538601995,blinding
0.0,11,0.09090909090909091,0.9940302114769565,0.8382465468755826,blinding
0.058823529411764705,17,0.17647058823529413,0.9774178175281716,0.6608112745937298,blinding
0.08333333333333333,24,0.16666666666666666,0.9798687566511528,0.6201146531576922,blinding
0.10714285714285714,28,0.42857142857142855,0.863120568566631,0.43118225672774946,blinding
